RESULT:
16 	0.000005	s 
17 	0.000006	s 
18 	0.000006	s 
19 	0.000008	s 
20 	0.000008	s 
21 	0.000008	s 
22 	0.000009	s 
23 	0.000009	s 
24 	0.000014	s 
25 	0.000010	s 
26 	0.000012	s 
27 	0.000013	s 
28 	0.000013	s 
29 	0.000018	s 
30 	0.000018	s 
31 	0.000027	s 
32 	0.000017	s 
33 	0.000021	s 
34 	0.000030	s 
35 	0.000025	s 
36 	0.000026	s 
37 	0.000026	s 
38 	0.000030	s 
39 	0.000024	s 
40 	0.000026	s 
41 	0.000044	s 
42 	0.000046	s 
43 	0.000038	s 
44 	0.000029	s 
45 	0.000034	s 
46 	0.000035	s 
47 	0.000040	s 
48 	0.000059	s 
